Filename,Slice (I->S),VertLevel,Label,Size [vox],MAP(),STD()
multi_subject/output/data_processed/sub-01/anat/mtr.nii.gz,3:16,2:5,dorsal columns,362.99853214935786,49.78844977926092,4.544740100058656
multi_subject/output/data_processed/sub-03/anat/mtr.nii.gz,3:15,2:5,dorsal columns,275.4197997204345,49.37700548960756,4.7511394493178205
multi_subject/output/data_processed/sub-05/anat/mtr.nii.gz,4:13,2:5,dorsal columns,226.4219907900724,49.15827368544715,4.450900586681125
