Filename,Slice (I->S),VertLevel,MEAN(eccentricity),STD(eccentricity),MEAN(orientation),STD(orientation),MEAN(solidity),STD(solidity),SUM(length)
single_subject/data/t2/t2_seg.nii.gz,143:164,4,0.78131,0.02058,6.45375,2.47327,0.97215,0.00925,17.95767
single_subject/data/t2/t2_seg.nii.gz,165:186,3,0.75055,0.01285,0.95162,0.65276,0.97003,0.00736,17.81215
