,coeff,mean
const,33.083923849329736,
sex,-15.000011679788948,0.43656716417910446
brain volume,2.4534871223492782e-06,1156171.0708955224
thalamus volume,0.001980035083542038,15265.63184079602
inter BV_sex,1.2553560383488494e-05,530335.0410447761
