Slice (I->S),VertLevel,Label,Size [vox],MAP(),STD()
1:3,5,white matter,222.9238402069421,0.8022975373311446,0.1351286712552327
4:7,4,white matter,296.0734786018154,0.8074454228732307,0.1524653518854505
8:11,3,white matter,275.06658044984334,0.8202444327622356,0.1641361813206025
12:14,2,white matter,201.6091738786069,0.8268468641737906,0.175489576527272
