Filename,Slice (I->S),VertLevel,MEAN(area),STD(area)
single_subject/data/t2/t2_seg.nii.gz,145:168,4,73.885037559993,1.584353844453437
single_subject/data/t2/t2_seg.nii.gz,169:189,3,71.51067181429542,1.7227127270189058
